Spring 2020,,
College Name,Page Number,
College of Arts and Sciences,1,
College of Engineering and Applied Sciences,103,
"College of Media, Communication and Information",130,
College of Music,142,
Cross-College Programs,159,
Leeds School of Business,162,
Program in Environmental Design,173,
School of Education,175,
School of Law,180,
Note ,,
"This listing was prepared on the basis of the best information available as of November 5, 2019. All information is subject to",,
change.,,
Office of the Registrar,Spring 2020,University of Colorado Boulder
~University of,,Colorado,,Boulder,,Schedule of Classes for Spring 2020,,,,,,,,
College of Arts and Sciences,,,,,,,,,,,,,,
Woodbury 109,,,,,303-492-7885,,,,,,,,,
http://artsandsciences.colorado.edu/,,,,,,,,,,,,,,
Anthropology,,,,,,,,,,,,,,
Hale 350,,,,,303-492-2547,,,,,,,,,
http://www.colorado.edu/Anthropology/,,,,,,,,,,,,,,
Undergraduate,,,,,,,,,,,,,,
DEPT,COURSE,SECTION,SESS,CLASS,CREDITS,COURSE TITLE,CLASS,MEETING TIME,DAYS,BUILDING,ROOM #,INSTRUCTOR NAME,MAX,CAMPUS
,SUBJECT,NUMBER,N,NBR,,COMPONENT,,,,,,,ENR,
,,,,,,,,,,Room Info,,,
PMU,1636,801,B,30122,2-4,Piano,STU,02:00 PM - 02:50 PM,M,See Class Notes For,"Korevaar,David J",20,Main Campus
,,,,,,,,,,Room Info,,,
PMU,1636,802,B,30123,2-4,Piano,STU,02:00 PM - 02:50 PM,M,See Class Notes For,"Hayghe,Jennifer C",20,Main Campus
,,,,,,,,,,Room Info,,,
PMU,1636,803,B,30124,2-4,Piano,STU,02:00 PM - 02:50 PM,M,See Class Notes For,"Cooperstock,Andrew B",20,Main Campus
,,,,,,,,,,Room Info,,,
PMU,1636,804,B,30125,2-4,Piano,STU,02:00 PM - 02:50 PM,M,See Class Notes For,"Cremaschi,Alejandro M",20,Main Campus
,,,,,,,,,,Room Info,,,
PMU,1636,805,B,30378,2-4,Piano,STU,02:00 PM - 02:50 PM,M,See Class Notes For,"Sher,Daniel P",20,Main Campus
,,,,,,,,,,Room Info,,,
PMU,1646,800,B,30141,2-4,Saxophone,STU,03:30 PM - 04:20 PM,TH,See Class Notes For,"Myer,Tom R",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,1656,800,B,30145,2-4,Double Bass,STU,03:00 PM - 03:50 PM,M,See Class Notes For,"Erhard,Paul Martin",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,1666,800,B,30150,2-4,Trombone,STU,03:30 PM - 04:20 PM,T,See Class Notes For,"Stanley,William J",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,1676,800,B,30154,2-4,Trumpet,STU,03:30 PM - 04:20 PM,T,See Class Notes For,"Gardner,Ryan",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,1686,800,B,30158,2-4,Tuba,STU,03:30 PM - 04:20 PM,T,See Class Notes For,"Dunn,James M",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,1696,800,B,30162,2-4,Viola,STU,03:00 PM - 03:50 PM,M,See Class Notes For,"Eckert,Erika L",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,1706,800,B,30166,2-4,Violin,STU,03:00 PM - 03:50 PM,M,See Class Notes For,"Rhodes,Harumi B",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,1706,801,B,30167,2-4,Violin,STU,03:00 PM - 03:50 PM,M,See Class Notes For,"Wetherbee,Charles Tyler",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,1706,802,B,30428,2-4,Violin,STU,03:00 PM - 03:50 PM,M,See Class Notes For,"Schranz,Karoly",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,1706,803,B,30513,2-4,Violin,STU,03:00 PM - 03:50 PM,M,See Class Notes For,"Sim,Claude",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,1716,800,B,30174,2-4,Violoncello,STU,03:00 PM - 03:50 PM,M,See Class Notes For,"Requiro,David",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,1726,800,B,30179,2-4,Voice,STU,03:00 PM - 03:50 PM,W,See Class Notes For,"Bird-Arvidsson,Jennifer",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,1726,801,B,30180,2-4,Voice,STU,03:00 PM - 03:50 PM,W,See Class Notes For,"Chellis,Matthew Wren",25,Main Campus
,,,,,,,,,,Room Info,,,
Page 148 of 180,,,,,,,,Spring 2020,,,,University of Colorado Boulder,
~University of Colorado,,Boulder,,,,,,,,,,,
PMU,1726,802,B,30181,2-4,Voice,STU, 03:00 PM - 03:50 PM,W,See Class Notes For,"Nims,Abigail Andrews",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,1726,803,B,30182,2-4,Voice,STU, 03:00 PM - 03:50 PM,W,See Class Notes For,"Seesholtz,John",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,1726,804,B,30183,2-4,Voice,STU, 03:00 PM - 03:50 PM,W,See Class Notes For,"Garland,Andrew B",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,1726,810,B,37549,2-4,Voice,STU, 03:00 PM - 03:50 PM,W,See Class Notes For,"Barber,Sarah Elizabeth",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,1806,800,B,30209,2-4, Jazz Piano,STU, 11:00 AM - 11:50 AM,TH,MCKY 1B03B," Jenkins,Jeffrey C",15, Main Campus
PMU,1816,800,B,30215,2-4, Jazz Bass,STU, 11:00 AM - 11:50 AM,TH,MCKY 1B03B,"Barbosa,Eduardo Da Silva",15, Main Campus
PMU,1826,800,B,30221,2-4,Jazz Drum Set,STU, 11:00 AM - 11:50 AM,TH,MCKY 1B03B," Romaine,Paul Christian",15, Main Campus
PMU,1846,800,B,30227,2-4, Jazz Guitar,STU, 11:00 AM - 11:50 AM,TH,MCKY 1B03B," Corbus,David Allen",15, Main Campus
PMU,1856,800,B,30233,2-4, Jazz Trumpet,STU, 11:00 AM - 11:50 AM,TH,MCKY 1B03B,"Goode,Bradley M.",15, Main Campus
PMU,1866,800,B,30239,2-4, Jazz Trombone,STU, 11:00 AM - 11:50 AM,TH,MCKY 1B03B,"McKee,Paul",15, Main Campus
PMU,1876,800,B,30245,2-4, Jazz Saxophone,STU, 11:00 AM - 11:50 AM,TH,MCKY 1B03B," Gunther,John G",15, Main Campus
PMU,2506,800,B,30057,2-4,Bassoon,STU, 03:30 PM - 04:20 PM,TH,See Class Notes For,"Ishikawa,Yoshiyuki",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,2516,800,B,30062,2-4,Clarinet,STU, 03:30 PM - 04:20 PM,TH,See Class Notes For,"Silver,Daniel S",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,2526,800,B,30066,2-3,Composition,STU, 02:00 PM - 03:50 PM,W,MCKY 213,"Pann,Carter N",15, Main Campus
PMU,2526,801,B,30067,2-3,Composition,STU, 02:00 PM - 03:50 PM,W,MCKY 213,,15, Main Campus
PMU,2526,802,B,30068,2-3,Composition,STU, 02:00 PM - 03:50 PM,W,MCKY 213,"Theodore,Michael R",15, Main Campus
PMU,2526,803,B,30069,2-3,Composition,STU, 02:00 PM - 03:50 PM,W,MCKY 213," Drumheller III,John Earl",15, Main Campus
PMU,2526,804,B,30478,2-3,Composition,STU, 02:00 PM - 03:50 PM,W,MCKY 213,"Nytch,Jeffrey",15, Main Campus
PMU,2526,805,B,30479,2-3,Composition,STU, 02:00 PM - 03:50 PM,W,MCKY 213,"Biggs,Betsey",15, Main Campus
PMU,2546,800,B,30083,2-4,Euphonium,STU, 03:30 PM - 04:20 PM,T,See Class Notes For,"Dunn,James M",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,2556,800,B,30088,2-4,Flute,STU, 03:30 PM - 04:20 PM,TH,See Class Notes For," Jennings,Christina A",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,2566,800,B,30092,2-4,Guitar,STU, 03:00 PM - 03:50 PM,M,See Class Notes For,"Spera,Nicolo Ruggero Ferruccio",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,2576,800,B,30096,2-4,Harp,STU, 03:00 PM - 03:50 PM,M,See Class Notes For," Harriman,Janet Kay",5, Main Campus
,,,,,,,,,, Room Info,,,
PMU,2586,800,B,30403,2-4,Harpsichord,STU,-,TBA,See Academc Dept,,10, Main Campus
,,,,,,,,,, For Room Info,,,
PMU,2596,800,B,30102,2-4,Horn,STU, 03:30 PM - 04:20 PM,T,See Class Notes For,"Thornton,Michael Robert",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,2606,800,B,30107,2-4,Oboe,STU, 03:30 PM - 04:20 PM,TH,See Class Notes For,"Cooper,Peter W.",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,2616,800,B,30114,2-4,Organ,STU,-,TBA,MCKY 213,,10, Main Campus
PMU,2626,800,B,30118,2-4,Percussion,STU, 03:30 PM - 04:20 PM,T,See Class Notes For,"Walter,Douglas William",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,2636,800,B,30126,2-4,Piano,STU, 02:00 PM - 02:50 PM,M,See Class Notes For," Cremaschi,Alejandro M",20, Main Campus
,,,,,,,,,, Room Info,,,
PMU,2636,801,B,30127,2-4,Piano,STU, 02:00 PM - 02:50 PM,M,See Class Notes For,"Korevaar,David J",20, Main Campus
,,,,,,,,,, Room Info,,,
PMU,2636,802,B,30128,2-4,Piano,STU, 02:00 PM - 02:50 PM,M,See Class Notes For,"Hayghe,Jennifer C",20, Main Campus
,,,,,,,,,, Room Info,,,
PMU,2636,803,B,30129,2-4,Piano,STU, 02:00 PM - 02:50 PM,M,See Class Notes For,"Cooperstock,Andrew B",20, Main Campus
,,,,,,,,,, Room Info,,,
PMU,2636,804,B,30130,2-4,Piano,STU, 02:00 PM - 02:50 PM,M,See Class Notes For," Cremaschi,Alejandro M",20, Main Campus
,,,,,,,,,, Room Info,,,
Page 149 of 180,,,,,,,Spring 2020,,,,,University of Colorado Boulder,
~University of Colorado,,Boulder,,,,,,,,,,,
PMU,2636,805,B,30379,2-4,Piano,STU,02:00 PM - 02:50 PM,M,See Class Notes For,"Sher,Daniel P",20,Main Campus
,,,,,,,,,,Room Info,,,
PMU,2646,800,B,30142,2-4,Saxophone,STU,03:30 PM - 04:20 PM,TH,See Class Notes For,"Myer,Tom R",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,2656,800,B,30146,2-4,Double Bass,STU,03:00 PM - 03:50 PM,M,See Class Notes For,"Erhard,Paul Martin",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,2666,800,B,30151,2-4,Trombone,STU,03:30 PM - 04:20 PM,T,See Class Notes For,"Stanley,William J",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,2676,800,B,30155,2-4,Trumpet,STU,03:30 PM - 04:20 PM,T,See Class Notes For,"Gardner,Ryan",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,2686,800,B,30159,2-4,Tuba,STU,03:30 PM - 04:20 PM,T,See Class Notes For,"Dunn,James M",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,2696,800,B,30163,2-4,Viola,STU,03:00 PM - 03:50 PM,M,See Class Notes For,"Eckert,Erika L",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,2706,800,B,30168,2-4,Violin,STU,03:00 PM - 03:50 PM,M,See Class Notes For,"Rhodes,Harumi B",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,2706,801,B,30169,2-4,Violin,STU,03:00 PM - 03:50 PM,M,See Class Notes For,"Wetherbee,Charles Tyler",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,2706,802,B,30429,2-4,Violin,STU,03:00 PM - 03:50 PM,M,See Class Notes For,"Schranz,Karoly",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,2706,803,B,30515,2-4,Violin,STU,03:00 PM - 03:50 PM,M,See Class Notes For,"Sim,Claude",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,2716,800,B,30175,2-4,Violoncello,STU,03:00 PM - 03:50 PM,M,See Class Notes For,"Requiro,David",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,2726,800,B,30189,2-4,Voice,STU,03:00 PM - 03:50 PM,W,See Class Notes For,"Bird-Arvidsson,Jennifer",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,2726,801,B,30190,2-4,Voice,STU,03:00 PM - 03:50 PM,W,See Class Notes For,"Chellis,Matthew Wren",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,2726,802,B,30191,2-4,Voice,STU,03:00 PM - 03:50 PM,W,See Class Notes For,"Nims,Abigail Andrews",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,2726,803,B,30192,2-4,Voice,STU,03:00 PM - 03:50 PM,W,See Class Notes For,"Seesholtz,John",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,2726,804,B,30193,2-4,Voice,STU,03:00 PM - 03:50 PM,W,See Class Notes For,"Garland,Andrew B",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,2726,810,B,37628,2-4,Voice,STU,03:00 PM - 03:50 PM,W,See Class Notes For,"Barber,Sarah Elizabeth",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,2806,800,B,30210,2-4,Jazz Piano,STU,11:00 AM - 11:50 AM,TH,MCKY 1B03B,"Jenkins,Jeffrey C",15,Main Campus
PMU,2816,800,B,30216,2-4,Jazz Bass,STU,11:00 AM - 11:50 AM,TH,MCKY 1B03B,"Barbosa,Eduardo Da Silva",15,Main Campus
PMU,2826,800,B,30222,2-4,Jazz Drum Set,STU,11:00 AM - 11:50 AM,TH,MCKY 1B03B,"Romaine,Paul Christian",15,Main Campus
PMU,2846,800,B,30228,2-4,Jazz Guitar,STU,11:00 AM - 11:50 AM,TH,MCKY 1B03B,"Corbus,David Allen",15,Main Campus
PMU,2856,800,B,30234,2-4,Jazz Trumpet,STU,11:00 AM - 11:50 AM,TH,MCKY 1B03B,"Goode,Bradley M.",15,Main Campus
PMU,2866,800,B,30240,2-4,Jazz Trombone,STU,11:00 AM - 11:50 AM,TH,MCKY 1B03B,"McKee,Paul",15,Main Campus
PMU,2876,800,B,30246,2-4,Jazz Saxophone,STU,11:00 AM - 11:50 AM,TH,MCKY 1B03B,"Gunther,John G",15,Main Campus
PMU,3271,800,B,36152,2,Basic Improvisation,LEC,04:30 PM - 05:20 PM,TTH,MUS C125,"Erhard,Paul Martin",10,Main Campus
PMU,3506,800,B,30058,2-4,Bassoon,STU,03:30 PM - 04:20 PM,TH,See Class Notes For,"Ishikawa,Yoshiyuki",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,3516,800,B,30063,2-4,Clarinet,STU,03:30 PM - 04:20 PM,TH,See Class Notes For,"Silver,Daniel S",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,3526,800,B,30070,2-3,Composition,STU,02:00 PM - 03:50 PM,W,MCKY 213,"Pann,Carter N",15,Main Campus
PMU,3526,801,B,30071,2-3,Composition,STU,02:00 PM - 03:50 PM,W,MCKY 213,,15,Main Campus
PMU,3526,802,B,30072,2-3,Composition,STU,02:00 PM - 03:50 PM,W,MCKY 213,"Theodore,Michael R",15,Main Campus
PMU,3526,803,B,30073,2-3,Composition,STU,02:00 PM - 03:50 PM,W,MCKY 213,"Drumheller III,John Earl",15,Main Campus
PMU,3526,804,B,30480,2-3,Composition,STU,02:00 PM - 03:50 PM,W,MCKY 213,"Nytch,Jeffrey",15,Main Campus
Page 150 of 180,,,,,,,,Spring 2020,,,,University of Colorado Boulder,
~University of Colorado,,Boulder,,,,,,,,,,,
PMU,3526,805,B,30481,2-3,Composition,STU, 02:00 PM - 03:50 PM,W,MCKY 213,"Biggs,Betsey",15, Main Campus
PMU,3546,800,B,30084,2-4,Euphonium,STU, 03:30 PM - 04:20 PM,T,See Class Notes For,"Dunn,James M",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3556,800,B,30089,2-4,Flute,STU, 03:30 PM - 04:20 PM,TH,See Class Notes For," Jennings,Christina A",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3566,800,B,30093,2-4,Guitar,STU, 03:00 PM - 03:50 PM,M,See Class Notes For,"Spera,Nicolo Ruggero Ferruccio",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3576,800,B,30424,2-4,Harp,STU, 03:00 PM - 03:50 PM,M,See Class Notes For," Harriman,Janet Kay",5, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3586,800,B,30404,2-4,Harpsichord,STU,-,TBA,See Academc Dept,,10, Main Campus
,,,,,,,,,, For Room Info,,,
PMU,3596,800,B,30103,2-4,Horn,STU, 03:30 PM - 04:20 PM,T,See Class Notes For,"Thornton,Michael Robert",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3606,800,B,30109,2-4,Oboe,STU, 03:30 PM - 04:20 PM,TH,See Class Notes For,"Cooper,Peter W.",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3616,800,B,30115,2-4,Organ,STU,-,TBA,MCKY 213,,10, Main Campus
PMU,3626,800,B,30119,2-4,Percussion,STU, 03:30 PM - 04:20 PM,T,See Class Notes For,"Walter,Douglas William",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3636,800,B,30131,2-4,Piano,STU, 02:00 PM - 02:50 PM,M,See Class Notes For," Cremaschi,Alejandro M",20, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3636,801,B,30132,2-4,Piano,STU, 02:00 PM - 02:50 PM,M,See Class Notes For,"Korevaar,David J",20, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3636,802,B,30133,2-4,Piano,STU, 02:00 PM - 02:50 PM,M,See Class Notes For,"Hayghe,Jennifer C",20, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3636,803,B,30134,2-4,Piano,STU, 02:00 PM - 02:50 PM,M,See Class Notes For,"Cooperstock,Andrew B",20, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3636,804,B,30135,2-4,Piano,STU, 02:00 PM - 02:50 PM,M,See Class Notes For," Cremaschi,Alejandro M",20, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3636,805,B,30380,2-4,Piano,STU, 02:00 PM - 02:50 PM,M,See Class Notes For,"Sher,Daniel P",20, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3646,800,B,30143,2-4,Saxophone,STU, 03:30 PM - 04:20 PM,TH,See Class Notes For,"Myer,Tom R",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3656,800,B,30147,2-4,Double Bass,STU, 03:00 PM - 03:50 PM,M,See Class Notes For,"Erhard,Paul Martin",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3666,800,B,30152,2-4,Trombone,STU, 03:30 PM - 04:20 PM,T,See Class Notes For,"Stanley,William J",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3676,800,B,30156,2-4,Trumpet,STU, 03:30 PM - 04:20 PM,T,See Class Notes For,"Gardner,Ryan",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3686,800,B,30160,2-4,Tuba,STU, 03:30 PM - 04:20 PM,T,See Class Notes For,"Dunn,James M",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3696,800,B,30164,2-4,Viola,STU, 03:00 PM - 03:50 PM,M,See Class Notes For," Eckert,Erika L",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3706,800,B,30170,2-4,Violin,STU, 03:00 PM - 03:50 PM,M,See Class Notes For,"Rhodes,Harumi B",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3706,801,B,30171,2-4,Violin,STU, 03:00 PM - 03:50 PM,M,See Class Notes For,"Wetherbee,Charles Tyler",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3706,802,B,30430,2-4,Violin,STU, 03:00 PM - 03:50 PM,M,See Class Notes For,"Schranz,Karoly",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3706,803,B,30517,2-4,Violin,STU, 03:00 PM - 03:50 PM,M,See Class Notes For,"Sim,Claude",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3716,800,B,30176,2-4,Violoncello,STU, 03:00 PM - 03:50 PM,M,See Class Notes For,"Requiro,David",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3726,800,B,30199,2-4,Voice,STU, 03:00 PM - 03:50 PM,W,See Class Notes For,"Bird-Arvidsson,Jennifer",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3726,801,B,30200,2-4,Voice,STU, 03:00 PM - 03:50 PM,W,See Class Notes For,"Chellis,Matthew Wren",25, Main Campus
,,,,,,,,,, Room Info,,,
Page 151 of 180,,,,,,,Spring 2020,,,,,University of Colorado Boulder,
~University of Colorado,,Boulder,,,,,,,,,,,
PMU,3726,802,B,30201,2-4,Voice,STU, 03:00 PM - 03:50 PM,W,See Class Notes For,"Nims,Abigail Andrews",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3726,803,B,30202,2-4,Voice,STU, 03:00 PM - 03:50 PM,W,See Class Notes For,"Seesholtz,John",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3726,804,B,30203,2-4,Voice,STU, 03:00 PM - 03:50 PM,W,See Class Notes For,"Garland,Andrew B",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3726,810,B,37629,2-4,Voice,STU, 03:00 PM - 03:50 PM,W,See Class Notes For,"Barber,Sarah Elizabeth",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,3806,800,B,30211,2-4, Jazz Piano,STU, 11:00 AM - 11:50 AM,TH,MCKY 1B03B," Jenkins,Jeffrey C",15, Main Campus
PMU,3816,800,B,30217,2-4, Jazz Bass,STU, 11:00 AM - 11:50 AM,TH,MCKY 1B03B,"Barbosa,Eduardo Da Silva",15, Main Campus
PMU,3826,800,B,30223,2-4,Jazz Drum Set,STU, 11:00 AM - 11:50 AM,TH,MCKY 1B03B," Romaine,Paul Christian",15, Main Campus
PMU,3846,800,B,30229,2-4, Jazz Guitar,STU, 11:00 AM - 11:50 AM,TH,MCKY 1B03B," Corbus,David Allen",15, Main Campus
PMU,3856,800,B,30235,2-4, Jazz Trumpet,STU, 11:00 AM - 11:50 AM,TH,MCKY 1B03B,"Goode,Bradley M.",15, Main Campus
PMU,3866,800,B,30241,2-4, Jazz Trombone,STU, 11:00 AM - 11:50 AM,TH,MCKY 1B03B,"McKee,Paul",15, Main Campus
PMU,3876,800,B,30247,2-4, Jazz Saxophone,STU, 11:00 AM - 11:50 AM,TH,MCKY 1B03B," Gunther,John G",15, Main Campus
PMU,4105,800,B,32331,1, Supervised Accompanying,LEC,-,TBA,See Academc Dept," Mc Donald,Margaret Mary",12, Main Campus
,,,,,,,,,, For Room Info,,,
PMU,4105,800,B,32331,1, Supervised Accompanying,LEC,-,TBA,See Academc Dept,"Nguyen,Alexandra",12, Main Campus
,,,,,,,,,, For Room Info,,,
PMU,4147,1,B,30047,1,Opera Theater 2,MLS, 01:00 PM - 01:50 PM,MW,MUS N1B95D," Holman,Leigh Karen",25, Main Campus
PMU,4157,1,B,30360,1-3, Opera Practicum,PRA, 04:00 PM - 06:00 PM,TWTH,MUS N1B95D," Holman,Leigh Karen",20, Main Campus
PMU,4157,1,B,30360,1-3, Opera Practicum,PRA, 07:00 PM - 10:00 PM,MTTF,MUS N1B95D," Holman,Leigh Karen",20, Main Campus
PMU,4157,1,B,30360,1-3, Opera Practicum,PRA, 07:00 PM - 10:00 PM,MTTF,MUS N1B95D,"Carthy,Nicholas R.",20, Main Campus
PMU,4157,1,B,30360,1-3, Opera Practicum,PRA, 04:00 PM - 06:00 PM,TWTH,MUS N1B95D,"Carthy,Nicholas R.",20, Main Campus
PMU,4157,2,B,37550,1-3, Opera Practicum,PRA, 04:00 PM - 07:00 PM,TWTH,MUS N1B95D,"Chellis,Matthew Wren",20, Main Campus
PMU,4497,1,B,30532,1-2,Vocal Rep. Coaching,LEC, 11:00 AM - 11:50 AM,MW,MUS N180D,"Moteki,Mutsumi",12, Main Campus
PMU,4506,800,B,30059,2-4,Bassoon,STU, 03:30 PM - 04:20 PM,TH,See Class Notes For,"Ishikawa,Yoshiyuki",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,4516,800,B,30064,2-4,Clarinet,STU, 03:30 PM - 04:20 PM,TH,See Class Notes For,"Silver,Daniel S",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,4526,800,B,30074,2-3,Composition,STU, 02:00 PM - 03:50 PM,W,MCKY 213,"Pann,Carter N",15, Main Campus
PMU,4526,801,B,30075,2-3,Composition,STU, 02:00 PM - 03:50 PM,W,MCKY 213,,15, Main Campus
PMU,4526,802,B,30076,2-3,Composition,STU, 02:00 PM - 03:50 PM,W,MCKY 213,"Theodore,Michael R",15, Main Campus
PMU,4526,803,B,30077,2-3,Composition,STU, 02:00 PM - 03:50 PM,W,MCKY 213," Drumheller III,John Earl",15, Main Campus
PMU,4526,804,B,30482,2-3,Composition,STU, 02:00 PM - 03:50 PM,W,MCKY 213,"Nytch,Jeffrey",15, Main Campus
PMU,4526,805,B,30483,2-3,Composition,STU, 02:00 PM - 03:50 PM,W,MCKY 213,"Biggs,Betsey",15, Main Campus
PMU,4546,800,B,30085,2-4,Euphonium,STU, 03:30 PM - 04:20 PM,T,See Class Notes For,"Dunn,James M",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,4556,800,B,30090,2-4,Flute,STU, 03:30 PM - 04:20 PM,TH,See Class Notes For," Jennings,Christina A",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,4566,800,B,30094,2-4,Guitar,STU, 03:00 PM - 03:50 PM,M,See Class Notes For,"Spera,Nicolo Ruggero Ferruccio",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,4576,800,B,30097,2-4,Harp,STU, 03:00 PM - 03:50 PM,M,See Class Notes For," Harriman,Janet Kay",5, Main Campus
,,,,,,,,,, Room Info,,,
PMU,4586,800,B,30405,2-4,Harpsichord,STU,-,TBA,See Academc Dept,,10, Main Campus
,,,,,,,,,, For Room Info,,,
PMU,4596,800,B,30104,2-4,Horn,STU, 03:30 PM - 04:20 PM,T,See Class Notes For,"Thornton,Michael Robert",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,4606,800,B,30111,2-4,Oboe,STU, 03:30 PM - 04:20 PM,TH,See Class Notes For,"Cooper,Peter W.",25, Main Campus
,,,,,,,,,, Room Info,,,
PMU,4616,800,B,30116,2-4,Organ,STU,-,TBA,MCKY 213,,10, Main Campus
Page 152 of 180,,,,,,,Spring 2020,,,,,University of Colorado Boulder,
~University of Colorado,,Boulder,,,,,,,,,,,
PMU,4626,800,B,30120,2-4,Percussion,STU,03:30 PM - 04:20 PM,T,See Class Notes For,"Walter,Douglas William",25,Main Campus
,,,,,,,,,,Room Info,,,
PMU,4636,800,B,30136,2-4,Piano,STU,02:00 PM - 02:50 PM,M,See Class Notes For,"Cremaschi,Alejandro M",20,Main Campus
,,,,,,,,,,Room Info,,,
PMU,4636,801,B,30137,2-4,Piano,STU,02:00 PM - 02:50 PM,M,See Class Notes For,"Korevaar,David J",20,Main Campus
,,,,,,,,,,Room Info,,,
PMU,4636,802,B,30138,2-4,Piano,STU,02:00 PM - 02:50 PM,M,See Class Notes For,"Hayghe,Jennifer C",20,Main Campus
,,,,,,,,,,Room Info,,,
PMU,4636,803,B,30139,2-4,Piano,STU,02:00 PM - 02:50 PM,M,See Class Notes For,"Cooperstock,Andrew B",20,Main Campus
,,,,,,,,,,Room Info,,,
PMU,4636,804,B,30140,2-4,Piano,STU,02:00 PM - 02:50 PM,M,See Class Notes For,"Cremaschi,Alejandro M",20,Main Campus
,,,,,,,,,,Room Info,,,
PMU,4636,805,B,30381,2-4,Piano,STU,02:00 PM - 02:50 PM,M,See Class Notes For,"Sher,Daniel P",20,Main Campus
,,,,,,,,,,Room Info,,,
