Spring 2020,,
College Name,Page Number,
College of Arts and Sciences,1,
College of Engineering and Applied Sciences,103,
"College of Media, Communication and Information",130,
College of Music,142,
Cross-College Programs,159,
Leeds School of Business,162,
Program in Environmental Design,173,
School of Education,175,
School of Law,180,
Note ,,
"This listing was prepared on the basis of the best information available as of November 5, 2019. All information is subject to",,
change.,,
Office of the Registrar,Spring 2020,University of Colorado Boulder
~University of,,Colorado,,Boulder,,Schedule of Classes for Spring 2020,,,,,,,,
College of Arts and Sciences,,,,,,,,,,,,,,
Woodbury 109,,,,,303-492-7885,,,,,,,,,
http://artsandsciences.colorado.edu/,,,,,,,,,,,,,,
Anthropology,,,,,,,,,,,,,,
Hale 350,,,,,303-492-2547,,,,,,,,,
http://www.colorado.edu/Anthropology/,,,,,,,,,,,,,,
Undergraduate,,,,,,,,,,,,,,
DEPT,COURSE,SECTION,SESS,CLASS,CREDITS,COURSE TITLE,CLASS,MEETING TIME,DAYS,BUILDING,ROOM #,INSTRUCTOR NAME,MAX,CAMPUS
,SUBJECT,NUMBER,N,NBR,,COMPONENT,,,,,,,ENR,
APPM,5720,4,B,24509,3,Open Tpcs: Applied Mathematics,LEC,04:00 PM - 05:15 PM,MW,FLMG 156,,"Appelo,Daniel E",15,Main Campus
APPM,6940,901,B,39576,1,Master's Candidate for Degree,THE,-,,,,,5,Main Campus
APPM,6950,901,B,39575,1-6,Master's Thesis,THE,-,,,,,100,Main Campus
APPM,7100,1,B,39151,3,Dynamical Systems,LEC,09:00 AM - 09:50 AM,MWF,ECCR 257,,"Meiss,James",25,Main Campus
APPM,7400,1,B,23414,1,Open Tpcs: Applied Mathematics,LEC,02:00 PM - 02:50 PM,W,ECCR 110,,,27,Main Campus
APPM,7400,2,B,24156,1,Open Tpcs: Applied Mathematics,LEC,11:00 AM - 11:50 AM,T,ECCR 257,,"Julien,Keith",28,Main Campus
APPM,7400,3,B,32721,3,Open Tpcs: Applied Mathematics,LEC,10:00 AM - 10:50 AM,MWF,ECCR 257,,"Fornberg,Bengt",15,Main Campus
APPM,7400,4,B,32722,3,Open Tpcs: Applied Mathematics,LEC,02:00 PM - 02:50 PM,MWF,HLMS 196,,"Becker,Stephen R",20,Main Campus
APPM,8000,1,B,18451,1,Colloquium/Applied Mathematics,SEM,03:00 PM - 04:30 PM,F,ECCR 265,,"Gillman,Adrianna Marie",15,Main Campus
APPM,8100,1,B,18892,1,Sem-Dynamical Systems,SEM,02:00 PM - 02:50 PM,TH,ECOT 317,,"Meiss,James",10,Main Campus
APPM,8300,1,B,24253,1-3,Nonlinear Waves Seminar,SEM,04:00 PM - 04:50 PM,T,ECOT 317,,"Ablowitz,Mark J",10,Main Campus
APPM,8400,1,B,24661,1,Mathematical Biology Seminar,SEM,04:00 PM - 04:50 PM,F,ECCR 1B08,,"Bortz,David Matthew",15,Main Campus
APPM,8500,1,B,23984,1,"Stats, Opt and ML Seminar",SEM,03:30 PM - 04:20 PM,T,ECCR 257,,"Becker,Stephen R",15,Main Campus
APPM,8600,1,B,25368,1,Sem: Computational Mathematics,SEM,11:00 AM - 11:50 AM,TH,ECCR 257,,"Appelo,Daniel E",10,Main Campus
Page 4 of 180,,,,,,,,Spring 2020,,,,,University of Colorado Boulder,
~University of Colorado,,Boulder,,,,,,,,,,,,
Arabic Languages,,,,,,,,,,,,,,
Humanities 240,,,,,303-492-6639,,,,,,,,,
